Zdroj Ministerstvo vnútra SR,,,,,,,,,,,,,,,,,,,,,,,
ŠTATISTIKA  KRIMINALITY ZA OBDOBIE  1.1.  -  31.12.2008,,,,,,,,,,,,,,,,,,,,,,,

Údaje za  Slovenskú republiku,,,,,,,,,,,,,,,,,,,,,,,

,Údaje o trestných èinoch   ( škody v tisíc SKK ),,,,,,,,,,,,,"Údaje o stíhaných,vyšetrovaných osobách",,,,,,,,,
Druh kriminality,Zistené,Objasnené, t.j. %,Spôsob. škoda,Dodatoè. objasnené,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,Celkom osôb,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy ,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,
§ 237                                   ,   63,   7,   11,  252 977,   5,   ,   ,   ,   ,   ,   ,   ,   ,   13,   ,   ,   ,   ,   ,   ,   ,   ,
§ 238                                   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 239/1                                 ,   117,   23,   20,  447 128,   18,   ,   ,   ,   ,   ,   ,   ,   ,   40,   ,   ,   ,   ,   ,   ,   ,   ,
§ 239/2                                 ,   4,   2,   50,  3 657,   1,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 240                                   ,   37,   5,   14,  57 164,   4,   ,   ,   ,   ,   ,   ,   ,   ,   7,   ,   ,   ,   ,   ,   ,   ,   ,
§ 242                                   ,   24,   4,   17,  45 454,   3,   ,   ,   ,   ,   ,   ,   ,   ,   7,   ,   ,   ,   ,   ,   ,   ,   ,
§ 243                                   ,   3,   1,   33,  1 515,   2,   ,   ,   ,   ,   ,   ,   ,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,
§ 244                                   ,   4,   ,   ,  1 410,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 245                                   ,  4 264,   568,   13,  360 869,   76,   154,   1,   49,   ,   ,   86,   18,   1,   677,   148,   1,   82,   ,   ,   87,   13,   1,
§ 246                                   ,   599,   237,   40,  10 295,   16,   27,   ,   43,   1,   ,   139,   7,   ,   324,   27,   ,   86,   4,   ,   157,   6,   ,
